GO.ID,Term,Annotated,Significant,Expected,classic
35,GO:0000394,RNA splicing, via endonucleolytic cleava...,3,3,3,1
36,GO:0000398,mRNA splicing, via spliceosome,18,18,18,1
37,GO:0000413,protein peptidyl-prolyl isomerization,25,25,25,1
38,GO:0000723,telomere maintenance,6,6,6,1
39,GO:0000724,double-strand break repair via homologou...,3,3,3,1
40,GO:0000725,recombinational repair,3,3,3,1
41,GO:0000737,DNA catabolic process, endonucleolytic,1,1,1,1
42,GO:0000819,sister chromatid segregation,7,7,7,1
43,GO:0000902,cell morphogenesis,2,2,2,1
44,GO:0000910,cytokinesis,3,3,3,1
45,GO:0000917,division septum assembly,2,2,2,1
46,GO:0000918,division septum site selection,1,1,1,1
47,GO:0000956,nuclear-transcribed mRNA catabolic proce...,2,2,2,1
48,GO:0001505,regulation of neurotransmitter levels,4,4,4,1
49,GO:0001510,RNA methylation,3,3,3,1
50,GO:0001522,pseudouridine synthesis,13,13,13,1
51,GO:0001539,cilium or flagellum-dependent cell motil...,1,1,1,1
52,GO:0001578,microtubule bundle formation,1,1,1,1
53,GO:0001659,temperature homeostasis,294,294,294,1
54,GO:0001932,regulation of protein phosphorylation,7,7,7,1
55,GO:0001934,positive regulation of protein phosphory...,2,2,2,1
56,GO:0002097,tRNA wobble base modification,2,2,2,1
57,GO:0002098,tRNA wobble uridine modification,2,2,2,1
58,GO:0002181,cytoplasmic translation,3,3,3,1
59,GO:0002182,cytoplasmic translational elongation,3,3,3,1
60,GO:0002250,adaptive immune response,1,1,1,1
61,GO:0002252,immune effector process,1,1,1,1
62,GO:0002376,immune system process,8,8,8,1
63,GO:0002437,inflammatory response to antigenic stimu...,1,1,1,1
64,GO:0002438,acute inflammatory response to antigenic...,1,1,1,1
65,GO:0002443,leukocyte mediated immunity,1,1,1,1
66,GO:0002449,lymphocyte mediated immunity,1,1,1,1
67,GO:0002460,adaptive immune response based on somati...,1,1,1,1
68,GO:0002524,hypersensitivity,1,1,1,1
69,GO:0002526,acute inflammatory response,1,1,1,1
70,GO:0003006,developmental process involved in reprod...,1,1,1,1
71,GO:0003333,amino acid transmembrane transport,7,7,7,1
72,GO:0003341,cilium movement,1,1,1,1
73,GO:0005975,carbohydrate metabolic process,132,132,132,1
74,GO:0005976,polysaccharide metabolic process,12,12,12,1
75,GO:0005977,glycogen metabolic process,4,4,4,1
76,GO:0005978,glycogen biosynthetic process,3,3,3,1
77,GO:0005980,glycogen catabolic process,1,1,1,1
78,GO:0005984,disaccharide metabolic process,1,1,1,1
79,GO:0005991,trehalose metabolic process,1,1,1,1
80,GO:0005992,trehalose biosynthetic process,1,1,1,1
81,GO:0005996,monosaccharide metabolic process,15,15,15,1
82,GO:0006002,fructose 6-phosphate metabolic process,2,2,2,1
83,GO:0006003,fructose 2,6-bisphosphate metabolic proc...,2,2,2,1
84,GO:0006006,glucose metabolic process,7,7,7,1
85,GO:0006011,UDP-glucose metabolic process,1,1,1,1
86,GO:0006012,galactose metabolic process,3,3,3,1
87,GO:0006013,mannose metabolic process,1,1,1,1
88,GO:0006014,D-ribose metabolic process,2,2,2,1
89,GO:0006020,inositol metabolic process,2,2,2,1
90,GO:0006021,inositol biosynthetic process,1,1,1,1
91,GO:0006022,aminoglycan metabolic process,5,5,5,1
92,GO:0006023,aminoglycan biosynthetic process,1,1,1,1
93,GO:0006024,glycosaminoglycan biosynthetic process,1,1,1,1
94,GO:0006026,aminoglycan catabolic process,2,2,2,1
95,GO:0006029,proteoglycan metabolic process,1,1,1,1
96,GO:0006030,chitin metabolic process,4,4,4,1
97,GO:0006032,chitin catabolic process,2,2,2,1
98,GO:0006040,amino sugar metabolic process,4,4,4,1
99,GO:0006066,alcohol metabolic process,19,19,19,1
100,GO:0006067,ethanol metabolic process,2,2,2,1
101,GO:0006069,ethanol oxidation,2,2,2,1
102,GO:0006071,glycerol metabolic process,5,5,5,1
103,GO:0006072,glycerol-3-phosphate metabolic process,7,7,7,1
104,GO:0006073,cellular glucan metabolic process,10,10,10,1
105,GO:0006074,(1->3)-beta-D-glucan metabolic process,3,3,3,1
106,GO:0006075,(1->3)-beta-D-glucan biosynthetic proces...,3,3,3,1
107,GO:0006081,cellular aldehyde metabolic process,7,7,7,1
108,GO:0006082,organic acid metabolic process,206,206,206,1
109,GO:0006083,acetate metabolic process,2,2,2,1
110,GO:0006084,acetyl-CoA metabolic process,3,3,3,1
111,GO:0006085,acetyl-CoA biosynthetic process,3,3,3,1
112,GO:0006086,acetyl-CoA biosynthetic process from pyr...,1,1,1,1
113,GO:0006089,lactate metabolic process,2,2,2,1
114,GO:0006090,pyruvate metabolic process,20,20,20,1
115,GO:0006091,generation of precursor metabolites and ...,96,96,96,1
116,GO:0006094,gluconeogenesis,4,4,4,1
117,GO:0006096,glycolytic process,20,20,20,1
118,GO:0006097,glyoxylate cycle,1,1,1,1
119,GO:0006098,pentose-phosphate shunt,8,8,8,1
120,GO:0006099,tricarboxylic acid cycle,11,11,11,1
121,GO:0006101,citrate metabolic process,1,1,1,1
122,GO:0006102,isocitrate metabolic process,1,1,1,1
123,GO:0006108,malate metabolic process,9,9,9,1
124,GO:0006112,energy reserve metabolic process,4,4,4,1
125,GO:0006119,oxidative phosphorylation,4,4,4,1
126,GO:0006122,mitochondrial electron transport, ubiqui...,2,2,2,1
127,GO:0006123,mitochondrial electron transport, cytoch...,1,1,1,1
128,GO:0006139,nucleobase-containing compound metabolic...,677,677,677,1
129,GO:0006144,purine nucleobase metabolic process,4,4,4,1
130,GO:0006145,purine nucleobase catabolic process,1,1,1,1
131,GO:0006147,guanine catabolic process,1,1,1,1
132,GO:0006163,purine nucleotide metabolic process,83,83,83,1
133,GO:0006164,purine nucleotide biosynthetic process,57,57,57,1
134,GO:0006165,nucleoside diphosphate phosphorylation,25,25,25,1
135,GO:0006166,purine ribonucleoside salvage,3,3,3,1
136,GO:0006168,adenine salvage,1,1,1,1
137,GO:0006177,GMP biosynthetic process,1,1,1,1
138,GO:0006182,cGMP biosynthetic process,4,4,4,1
139,GO:0006183,GTP biosynthetic process,5,5,5,1
140,GO:0006188,IMP biosynthetic process,6,6,6,1
141,GO:0006189,'de novo' IMP biosynthetic process,4,4,4,1
142,GO:0006206,pyrimidine nucleobase metabolic process,7,7,7,1
143,GO:0006207,'de novo' pyrimidine nucleobase biosynth...,5,5,5,1
144,GO:0006208,pyrimidine nucleobase catabolic process,1,1,1,1
145,GO:0006220,pyrimidine nucleotide metabolic process,9,9,9,1
146,GO:0006221,pyrimidine nucleotide biosynthetic proce...,8,8,8,1
147,GO:0006222,UMP biosynthetic process,1,1,1,1
148,GO:0006228,UTP biosynthetic process,5,5,5,1
149,GO:0006241,CTP biosynthetic process,5,5,5,1
150,GO:0006259,DNA metabolic process,120,120,120,1
151,GO:0006260,DNA replication,28,28,28,1
152,GO:0006261,DNA-templated DNA replication,9,9,9,1
153,GO:0006265,DNA topological change,3,3,3,1
154,GO:0006269,DNA replication, synthesis of RNA primer,1,1,1,1
155,GO:0006270,DNA replication initiation,5,5,5,1
156,GO:0006275,regulation of DNA replication,1,1,1,1
157,GO:0006278,RNA-templated DNA biosynthetic process,14,14,14,1
158,GO:0006281,DNA repair,67,67,67,1
159,GO:0006282,regulation of DNA repair,1,1,1,1
160,GO:0006284,base-excision repair,4,4,4,1
161,GO:0006289,nucleotide-excision repair,9,9,9,1
162,GO:0006298,mismatch repair,7,7,7,1
163,GO:0006302,double-strand break repair,8,8,8,1
164,GO:0006303,double-strand break repair via nonhomolo...,1,1,1,1
165,GO:0006304,DNA modification,6,6,6,1
166,GO:0006305,DNA alkylation,5,5,5,1
167,GO:0006306,DNA methylation,5,5,5,1
168,GO:0006308,DNA catabolic process,1,1,1,1
169,GO:0006310,DNA recombination,32,32,32,1
170,GO:0006325,chromatin organization,29,29,29,1
171,GO:0006334,nucleosome assembly,25,25,25,1
172,GO:0006338,chromatin remodeling,29,29,29,1
173,GO:0006351,transcription, DNA-templated,218,218,218,1
174,GO:0006352,DNA-templated transcription, initiation,14,14,14,1
175,GO:0006354,DNA-templated transcription, elongation,6,6,6,1
176,GO:0006355,regulation of transcription, DNA-templat...,177,177,177,1
177,GO:0006357,regulation of transcription by RNA polym...,5,5,5,1
178,GO:0006359,regulation of transcription by RNA polym...,1,1,1,1
179,GO:0006364,rRNA processing,17,17,17,1
180,GO:0006366,transcription by RNA polymerase II,16,16,16,1
181,GO:0006367,transcription initiation from RNA polyme...,7,7,7,1
182,GO:0006368,transcription elongation from RNA polyme...,4,4,4,1
183,GO:0006370,7-methylguanosine mRNA capping,1,1,1,1
184,GO:0006376,mRNA splice site selection,2,2,2,1
185,GO:0006378,mRNA polyadenylation,2,2,2,1
186,GO:0006379,mRNA cleavage,2,2,2,1
187,GO:0006383,transcription by RNA polymerase III,1,1,1,1
188,GO:0006388,tRNA splicing, via endonucleolytic cleav...,3,3,3,1
189,GO:0006396,RNA processing,111,111,111,1
190,GO:0006397,mRNA processing,38,38,38,1
191,GO:0006399,tRNA metabolic process,63,63,63,1
192,GO:0006400,tRNA modification,10,10,10,1
193,GO:0006401,RNA catabolic process,3,3,3,1
194,GO:0006402,mRNA catabolic process,3,3,3,1
195,GO:0006403,RNA localization,2,2,2,1
196,GO:0006405,RNA export from nucleus,1,1,1,1
197,GO:0006406,mRNA export from nucleus,1,1,1,1
198,GO:0006412,translation,215,215,215,1
199,GO:0006413,translational initiation,14,14,14,1
200,GO:0006414,translational elongation,12,12,12,1
201,GO:0006415,translational termination,1,1,1,1
202,GO:0006417,regulation of translation,7,7,7,1
203,GO:0006418,tRNA aminoacylation for protein translat...,36,36,36,1
204,GO:0006419,alanyl-tRNA aminoacylation,1,1,1,1
205,GO:0006420,arginyl-tRNA aminoacylation,1,1,1,1
206,GO:0006421,asparaginyl-tRNA aminoacylation,1,1,1,1
207,GO:0006422,aspartyl-tRNA aminoacylation,1,1,1,1
208,GO:0006423,cysteinyl-tRNA aminoacylation,1,1,1,1
209,GO:0006424,glutamyl-tRNA aminoacylation,2,2,2,1
210,GO:0006425,glutaminyl-tRNA aminoacylation,1,1,1,1
211,GO:0006426,glycyl-tRNA aminoacylation,1,1,1,1
212,GO:0006427,histidyl-tRNA aminoacylation,1,1,1,1
213,GO:0006428,isoleucyl-tRNA aminoacylation,2,2,2,1
214,GO:0006429,leucyl-tRNA aminoacylation,1,1,1,1
215,GO:0006430,lysyl-tRNA aminoacylation,3,3,3,1
216,GO:0006431,methionyl-tRNA aminoacylation,2,2,2,1
217,GO:0006432,phenylalanyl-tRNA aminoacylation,2,2,2,1
218,GO:0006433,prolyl-tRNA aminoacylation,2,2,2,1
219,GO:0006434,seryl-tRNA aminoacylation,2,2,2,1
220,GO:0006435,threonyl-tRNA aminoacylation,2,2,2,1
221,GO:0006436,tryptophanyl-tRNA aminoacylation,1,1,1,1
222,GO:0006437,tyrosyl-tRNA aminoacylation,1,1,1,1
223,GO:0006438,valyl-tRNA aminoacylation,3,3,3,1
224,GO:0006446,regulation of translational initiation,1,1,1,1
225,GO:0006448,regulation of translational elongation,5,5,5,1
226,GO:0006457,protein folding,119,119,119,1
227,GO:0006464,cellular protein modification process,460,460,460,1
228,GO:0006465,signal peptide processing,3,3,3,1
229,GO:0006468,protein phosphorylation,319,319,319,1
230,GO:0006470,protein dephosphorylation,36,36,36,1
231,GO:0006473,protein acetylation,3,3,3,1
232,GO:0006475,internal protein amino acid acetylation,3,3,3,1
233,GO:0006476,protein deacetylation,3,3,3,1
234,GO:0006479,protein methylation,4,4,4,1
235,GO:0006486,protein glycosylation,10,10,10,1
236,GO:0006487,protein N-linked glycosylation,4,4,4,1
237,GO:0006488,dolichol-linked oligosaccharide biosynth...,1,1,1,1
238,GO:0006490,oligosaccharide-lipid intermediate biosy...,1,1,1,1
239,GO:0006491,N-glycan processing,2,2,2,1
240,GO:0006497,protein lipidation,4,4,4,1
241,GO:0006498,N-terminal protein lipidation,1,1,1,1
242,GO:0006499,N-terminal protein myristoylation,1,1,1,1
243,GO:0006505,GPI anchor metabolic process,3,3,3,1
244,GO:0006506,GPI anchor biosynthetic process,3,3,3,1
245,GO:0006508,proteolysis,160,160,160,1
246,GO:0006511,ubiquitin-dependent protein catabolic pr...,25,25,25,1
247,GO:0006518,peptide metabolic process,235,235,235,1
248,GO:0006520,cellular amino acid metabolic process,135,135,135,1
249,GO:0006525,arginine metabolic process,4,4,4,1
250,GO:0006526,arginine biosynthetic process,3,3,3,1
251,GO:0006528,asparagine metabolic process,2,2,2,1
252,GO:0006529,asparagine biosynthetic process,2,2,2,1
253,GO:0006534,cysteine metabolic process,6,6,6,1
254,GO:0006535,cysteine biosynthetic process from serin...,4,4,4,1
255,GO:0006536,glutamate metabolic process,1,1,1,1
256,GO:0006537,glutamate biosynthetic process,1,1,1,1
257,GO:0006541,glutamine metabolic process,10,10,10,1
258,GO:0006542,glutamine biosynthetic process,5,5,5,1
259,GO:0006544,glycine metabolic process,5,5,5,1
260,GO:0006546,glycine catabolic process,3,3,3,1
261,GO:0006547,histidine metabolic process,7,7,7,1
262,GO:0006549,isoleucine metabolic process,1,1,1,1
263,GO:0006551,leucine metabolic process,3,3,3,1
264,GO:0006553,lysine metabolic process,6,6,6,1
265,GO:0006555,methionine metabolic process,5,5,5,1
266,GO:0006558,L-phenylalanine metabolic process,2,2,2,1
267,GO:0006559,L-phenylalanine catabolic process,1,1,1,1
268,GO:0006560,proline metabolic process,6,6,6,1
269,GO:0006561,proline biosynthetic process,4,4,4,1
270,GO:0006562,proline catabolic process,2,2,2,1
271,GO:0006563,L-serine metabolic process,7,7,7,1
272,GO:0006564,L-serine biosynthetic process,1,1,1,1
273,GO:0006566,threonine metabolic process,3,3,3,1
274,GO:0006568,tryptophan metabolic process,5,5,5,1
275,GO:0006570,tyrosine metabolic process,2,2,2,1
276,GO:0006571,tyrosine biosynthetic process,1,1,1,1
277,GO:0006575,cellular modified amino acid metabolic p...,13,13,13,1
278,GO:0006576,cellular biogenic amine metabolic proces...,9,9,9,1
279,GO:0006584,catecholamine metabolic process,1,1,1,1
280,GO:0006586,indolalkylamine metabolic process,5,5,5,1
281,GO:0006591,ornithine metabolic process,1,1,1,1
282,GO:0006595,polyamine metabolic process,3,3,3,1
283,GO:0006596,polyamine biosynthetic process,3,3,3,1
284,GO:0006605,protein targeting,21,21,21,1
285,GO:0006606,protein import into nucleus,1,1,1,1
286,GO:0006612,protein targeting to membrane,10,10,10,1
287,GO:0006613,cotranslational protein targeting to mem...,7,7,7,1
288,GO:0006614,SRP-dependent cotranslational protein ta...,7,7,7,1
289,GO:0006620,post-translational protein targeting to ...,2,2,2,1
290,GO:0006621,protein retention in ER lumen,3,3,3,1
291,GO:0006625,protein targeting to peroxisome,2,2,2,1
292,GO:0006626,protein targeting to mitochondrion,7,7,7,1
293,GO:0006629,lipid metabolic process,116,116,116,1
294,GO:0006631,fatty acid metabolic process,23,23,23,1
295,GO:0006633,fatty acid biosynthetic process,18,18,18,1
296,GO:0006635,fatty acid beta-oxidation,3,3,3,1
297,GO:0006637,acyl-CoA metabolic process,3,3,3,1
298,GO:0006638,neutral lipid metabolic process,1,1,1,1
299,GO:0006639,acylglycerol metabolic process,1,1,1,1
300,GO:0006641,triglyceride metabolic process,1,1,1,1
301,GO:0006643,membrane lipid metabolic process,5,5,5,1
302,GO:0006644,phospholipid metabolic process,19,19,19,1
303,GO:0006650,glycerophospholipid metabolic process,11,11,11,1
304,GO:0006661,phosphatidylinositol biosynthetic proces...,9,9,9,1
305,GO:0006662,glycerol ether metabolic process,19,19,19,1
306,GO:0006664,glycolipid metabolic process,4,4,4,1
307,GO:0006665,sphingolipid metabolic process,1,1,1,1
308,GO:0006690,icosanoid metabolic process,1,1,1,1
309,GO:0006691,leukotriene metabolic process,1,1,1,1
310,GO:0006694,steroid biosynthetic process,7,7,7,1
311,GO:0006720,isoprenoid metabolic process,17,17,17,1
312,GO:0006721,terpenoid metabolic process,10,10,10,1
313,GO:0006725,cellular aromatic compound metabolic pro...,755,755,755,1
314,GO:0006729,tetrahydrobiopterin biosynthetic process,3,3,3,1
315,GO:0006730,one-carbon metabolic process,1,1,1,1
316,GO:0006739,NADP metabolic process,10,10,10,1
317,GO:0006740,NADPH regeneration,8,8,8,1
318,GO:0006741,NADP biosynthetic process,2,2,2,1
319,GO:0006743,ubiquinone metabolic process,4,4,4,1
320,GO:0006744,ubiquinone biosynthetic process,4,4,4,1
321,GO:0006749,glutathione metabolic process,4,4,4,1
322,GO:0006750,glutathione biosynthetic process,3,3,3,1
323,GO:0006753,nucleoside phosphate metabolic process,139,139,139,1
324,GO:0006754,ATP biosynthetic process,33,33,33,1
325,GO:0006757,ATP generation from ADP,20,20,20,1
326,GO:0006760,folic acid-containing compound metabolic...,7,7,7,1
327,GO:0006766,vitamin metabolic process,28,28,28,1
328,GO:0006767,water-soluble vitamin metabolic process,26,26,26,1
329,GO:0006768,biotin metabolic process,1,1,1,1
330,GO:0006771,riboflavin metabolic process,8,8,8,1
331,GO:0006772,thiamine metabolic process,5,5,5,1
332,GO:0006775,fat-soluble vitamin metabolic process,2,2,2,1
333,GO:0006777,Mo-molybdopterin cofactor biosynthetic p...,4,4,4,1
334,GO:0006778,porphyrin-containing compound metabolic ...,25,25,25,1
335,GO:0006779,porphyrin-containing compound biosynthet...,22,22,22,1
336,GO:0006783,heme biosynthetic process,3,3,3,1
337,GO:0006784,heme A biosynthetic process,1,1,1,1
338,GO:0006787,porphyrin-containing compound catabolic ...,3,3,3,1
339,GO:0006788,heme oxidation,2,2,2,1
340,GO:0006790,sulfur compound metabolic process,37,37,37,1
341,GO:0006793,phosphorus metabolic process,554,554,554,1
342,GO:0006796,phosphate-containing compound metabolic ...,553,553,553,1
343,GO:0006801,superoxide metabolic process,9,9,9,1
344,GO:0006807,nitrogen compound metabolic process,1671,1671,1671,1
345,GO:0006809,nitric oxide biosynthetic process,1,1,1,1
346,GO:0006810,transport,409,409,409,1
347,GO:0006811,ion transport,132,132,132,1
348,GO:0006812,cation transport,88,88,88,1
349,GO:0006813,potassium ion transport,21,21,21,1
350,GO:0006814,sodium ion transport,12,12,12,1
351,GO:0006816,calcium ion transport,10,10,10,1
352,GO:0006817,phosphate ion transport,8,8,8,1
353,GO:0006820,anion transport,21,21,21,1
354,GO:0006821,chloride transport,2,2,2,1
355,GO:0006825,copper ion transport,4,4,4,1
356,GO:0006826,iron ion transport,2,2,2,1
357,GO:0006835,dicarboxylic acid transport,3,3,3,1
358,GO:0006839,mitochondrial transport,8,8,8,1
359,GO:0006855,xenobiotic transmembrane transport,9,9,9,1
360,GO:0006863,purine nucleobase transport,2,2,2,1
361,GO:0006865,amino acid transport,7,7,7,1
362,GO:0006869,lipid transport,4,4,4,1
363,GO:0006873,cellular ion homeostasis,3,3,3,1
364,GO:0006875,cellular metal ion homeostasis,3,3,3,1
365,GO:0006878,cellular copper ion homeostasis,1,1,1,1
366,GO:0006879,cellular iron ion homeostasis,2,2,2,1
367,GO:0006884,cell volume homeostasis,1,1,1,1
368,GO:0006885,regulation of pH,2,2,2,1
369,GO:0006886,intracellular protein transport,60,60,60,1
370,GO:0006887,exocytosis,3,3,3,1
371,GO:0006888,endoplasmic reticulum to Golgi vesicle-m...,3,3,3,1
372,GO:0006890,retrograde vesicle-mediated transport, G...,1,1,1,1
373,GO:0006897,endocytosis,3,3,3,1
374,GO:0006904,vesicle docking involved in exocytosis,2,2,2,1
375,GO:0006909,phagocytosis,1,1,1,1
376,GO:0006913,nucleocytoplasmic transport,7,7,7,1
377,GO:0006914,autophagy,4,4,4,1
378,GO:0006928,movement of cell or subcellular componen...,41,41,41,1
379,GO:0006950,response to stress,400,400,400,1
380,GO:0006952,defense response,15,15,15,1
381,GO:0006954,inflammatory response,1,1,1,1
382,GO:0006955,immune response,8,8,8,1
383,GO:0006974,cellular response to DNA damage stimulus,68,68,68,1
384,GO:0006979,response to oxidative stress,13,13,13,1
385,GO:0006996,organelle organization,101,101,101,1
386,GO:0007005,mitochondrion organization,9,9,9,1
387,GO:0007006,mitochondrial membrane organization,4,4,4,1
388,GO:0007007,inner mitochondrial membrane organizatio...,3,3,3,1
389,GO:0007008,outer mitochondrial membrane organizatio...,1,1,1,1
390,GO:0007010,cytoskeleton organization,31,31,31,1
391,GO:0007015,actin filament organization,5,5,5,1
392,GO:0007017,microtubule-based process,59,59,59,1
393,GO:0007018,microtubule-based movement,40,40,40,1
394,GO:0007020,microtubule nucleation,3,3,3,1
395,GO:0007021,tubulin complex assembly,1,1,1,1
396,GO:0007023,post-chaperonin tubulin folding pathway,1,1,1,1
397,GO:0007031,peroxisome organization,3,3,3,1
398,GO:0007033,vacuole organization,2,2,2,1
399,GO:0007034,vacuolar transport,4,4,4,1
400,GO:0007049,cell cycle,32,32,32,1
401,GO:0007051,spindle organization,6,6,6,1
402,GO:0007052,mitotic spindle organization,2,2,2,1
403,GO:0007059,chromosome segregation,7,7,7,1
404,GO:0007076,mitotic chromosome condensation,5,5,5,1
405,GO:0007088,regulation of mitotic nuclear division,1,1,1,1
406,GO:0007091,metaphase/anaphase transition of mitotic...,2,2,2,1
407,GO:0007093,mitotic cell cycle checkpoint signaling,1,1,1,1
408,GO:0007094,mitotic spindle assembly checkpoint sign...,1,1,1,1
409,GO:0007096,regulation of exit from mitosis,1,1,1,1
410,GO:0007098,centrosome cycle,1,1,1,1
411,GO:0007154,cell communication,154,154,154,1
412,GO:0007155,cell adhesion,2,2,2,1
413,GO:0007165,signal transduction,151,151,151,1
414,GO:0007166,cell surface receptor signaling pathway,1,1,1,1
415,GO:0007186,G protein-coupled receptor signaling pat...,8,8,8,1
416,GO:0007205,protein kinase C-activating G protein-co...,2,2,2,1
417,GO:0007264,small GTPase mediated signal transductio...,21,21,21,1
418,GO:0007265,Ras protein signal transduction,1,1,1,1
419,GO:0007267,cell-cell signaling,1,1,1,1
420,GO:0007275,multicellular organism development,2,2,2,1
421,GO:0007276,gamete generation,1,1,1,1
422,GO:0007281,germ cell development,1,1,1,1
423,GO:0007292,female gamete generation,1,1,1,1
424,GO:0007346,regulation of mitotic cell cycle,3,3,3,1
425,GO:0008033,tRNA processing,26,26,26,1
426,GO:0008064,regulation of actin polymerization or de...,1,1,1,1
427,GO:0008104,protein localization,85,85,85,1
428,GO:0008150,biological_process,3204,3204,3204,1
429,GO:0008152,metabolic process,2281,2281,2281,1
430,GO:0008154,actin polymerization or depolymerization,3,3,3,1
431,GO:0008156,negative regulation of DNA replication,1,1,1,1
432,GO:0008202,steroid metabolic process,8,8,8,1
433,GO:0008213,protein alkylation,4,4,4,1
434,GO:0008272,sulfate transport,5,5,5,1
435,GO:0008283,cell population proliferation,2,2,2,1
436,GO:0008299,isoprenoid biosynthetic process,17,17,17,1
437,GO:0008361,regulation of cell size,1,1,1,1
438,GO:0008380,RNA splicing,22,22,22,1
439,GO:0008535,respiratory chain complex IV assembly,1,1,1,1
440,GO:0008610,lipid biosynthetic process,60,60,60,1
441,GO:0008612,peptidyl-lysine modification to peptidyl...,1,1,1,1
442,GO:0008614,pyridoxine metabolic process,2,2,2,1
443,GO:0008615,pyridoxine biosynthetic process,2,2,2,1
444,GO:0008616,queuosine biosynthetic process,1,1,1,1
445,GO:0008643,carbohydrate transport,5,5,5,1
446,GO:0008652,cellular amino acid biosynthetic process,52,52,52,1
447,GO:0008654,phospholipid biosynthetic process,15,15,15,1
448,GO:0009052,pentose-phosphate shunt, non-oxidative b...,2,2,2,1
449,GO:0009056,catabolic process,119,119,119,1
450,GO:0009057,macromolecule catabolic process,65,65,65,1
451,GO:0009058,biosynthetic process,830,830,830,1
452,GO:0009059,macromolecule biosynthetic process,474,474,474,1
453,GO:0009060,aerobic respiration,15,15,15,1
454,GO:0009062,fatty acid catabolic process,3,3,3,1
455,GO:0009063,cellular amino acid catabolic process,8,8,8,1
456,GO:0009064,glutamine family amino acid metabolic pr...,21,21,21,1
457,GO:0009065,glutamine family amino acid catabolic pr...,2,2,2,1
458,GO:0009066,aspartate family amino acid metabolic pr...,16,16,16,1
459,GO:0009067,aspartate family amino acid biosynthetic...,13,13,13,1
460,GO:0009069,serine family amino acid metabolic proce...,12,12,12,1
461,GO:0009070,serine family amino acid biosynthetic pr...,5,5,5,1
462,GO:0009071,serine family amino acid catabolic proce...,3,3,3,1
463,GO:0009072,aromatic amino acid family metabolic pro...,15,15,15,1
464,GO:0009073,aromatic amino acid family biosynthetic ...,8,8,8,1
465,GO:0009074,aromatic amino acid family catabolic pro...,1,1,1,1
466,GO:0009081,branched-chain amino acid metabolic proc...,8,8,8,1
467,GO:0009082,branched-chain amino acid biosynthetic p...,7,7,7,1
468,GO:0009084,glutamine family amino acid biosynthetic...,13,13,13,1
469,GO:0009085,lysine biosynthetic process,6,6,6,1
470,GO:0009086,methionine biosynthetic process,4,4,4,1
471,GO:0009088,threonine biosynthetic process,1,1,1,1
472,GO:0009089,lysine biosynthetic process via diaminop...,6,6,6,1
473,GO:0009094,L-phenylalanine biosynthetic process,1,1,1,1
474,GO:0009095,aromatic amino acid family biosynthetic ...,2,2,2,1
475,GO:0009097,isoleucine biosynthetic process,1,1,1,1
476,GO:0009098,leucine biosynthetic process,3,3,3,1
477,GO:0009100,glycoprotein metabolic process,13,13,13,1
478,GO:0009101,glycoprotein biosynthetic process,11,11,11,1
479,GO:0009102,biotin biosynthetic process,1,1,1,1
480,GO:0009110,vitamin biosynthetic process,27,27,27,1
481,GO:0009112,nucleobase metabolic process,11,11,11,1
482,GO:0009113,purine nucleobase biosynthetic process,2,2,2,1
483,GO:0009116,nucleoside metabolic process,12,12,12,1
484,GO:0009117,nucleotide metabolic process,138,138,138,1
485,GO:0009119,ribonucleoside metabolic process,4,4,4,1
